ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
6049,null,null,null,null
6050,null,null,null,null
6051,null,null,null,null
6052,null,null,null,null
6053,null,null,null,null
6054,null,null,null,null
6055,null,null,null,null
6056,null,null,null,null
6057,null,null,null,null
6058,null,null,null,null
6059,null,null,null,null
6060,null,null,null,null
6061,null,null,null,null
6062,null,null,null,null
6063,null,null,null,null
6064,null,null,null,null
6065,null,null,null,null
6066,null,null,null,null
6067,null,null,null,null
6068,null,null,null,null
6069,null,null,null,null
6070,null,null,null,null
6071,null,null,null,null
6072,null,null,null,null
6073,null,null,null,null
6074,null,null,null,null
6075,null,null,null,null
6076,null,null,null,null
6077,null,null,null,null
6078,null,null,null,null
6079,null,null,null,null
6080,null,null,null,null
6081,null,null,null,null
6082,null,null,null,null
6083,null,null,null,null
6084,null,null,null,null
6085,null,null,null,null
6086,null,null,null,null
6087,null,null,null,null
6088,null,null,null,null
6089,null,null,null,null
6090,null,null,null,null
6091,null,null,null,null
6092,null,null,null,null
6093,null,null,null,null
6094,null,null,null,null
6095,null,null,null,null
6096,null,null,null,null
6097,null,null,null,null
6098,null,null,null,null
6099,null,null,null,null
6100,null,null,null,null
6101,null,null,null,null
6102,null,null,null,null
6103,null,null,null,null
6104,null,null,null,null
6105,null,null,null,null
6106,null,null,null,null
6107,null,null,null,null
6108,null,null,null,null
6109,null,null,null,null
6110,null,null,null,null
6111,null,null,null,null
6112,null,null,null,null
6113,null,null,null,null
6114,null,null,null,null
6115,null,null,null,null
6116,null,null,null,null
6117,null,null,null,null
6118,null,null,null,null
6119,null,null,null,null
6120,null,null,null,null
6121,null,null,null,null
6122,null,null,null,null
6123,null,null,null,null
6124,null,null,null,null
6125,null,null,null,null
6126,null,null,null,null
6127,null,null,null,null
6128,null,null,null,null
6129,null,null,null,null
6130,null,null,null,null
6131,null,null,null,null
6132,null,null,null,null
6133,null,null,null,null
6134,null,null,null,null
6135,null,null,null,null
6136,null,null,null,null
6137,null,null,null,null
6138,null,null,null,null
6139,null,null,null,null
6140,null,null,null,null
6141,null,null,null,null
6142,null,null,null,null
6143,null,null,null,null
6144,null,null,null,null
6145,null,null,null,null
6146,null,null,null,null
6147,null,null,null,null
6148,null,null,null,null
6149,null,null,null,null
6150,null,null,null,null
6151,null,null,null,null
6152,null,null,null,null
6153,null,null,null,null
6154,null,null,null,null
6155,null,null,null,null
6156,null,null,null,null
6157,null,null,null,null
6158,null,null,null,null
6159,null,null,null,null
6160,null,null,null,null
6161,null,null,null,null
6162,null,null,null,null
6163,null,null,null,null
6164,null,null,null,null
6165,null,null,null,null
6166,null,null,null,null
6167,null,null,null,null
6168,null,null,null,null
6169,null,null,null,null
6170,null,null,null,null
6171,null,null,null,null
6172,null,null,null,null
6173,null,null,null,null
6174,null,null,null,null
6175,null,null,null,null
6176,null,null,null,null
6177,null,null,null,null
6178,null,null,null,null
6179,null,null,null,null
6180,null,null,null,null
6181,null,null,null,null
6182,null,null,null,null
6183,null,null,null,null
6184,null,null,null,null
6185,null,null,null,null
6186,null,null,null,null
6187,null,null,null,null
6188,null,null,null,null
6189,null,null,null,null
6190,null,null,null,null
6191,null,null,null,null
6192,null,null,null,null
6193,null,null,null,null
6194,null,null,null,null
6195,null,null,null,null
6196,null,null,null,null
6197,null,null,null,null
6198,null,null,null,null
6199,null,null,null,null
6200,null,null,null,null
6201,null,null,null,null
6202,null,null,null,null
6203,null,null,null,null
6204,null,null,null,null
6205,null,null,null,null
6206,null,null,null,null
6207,null,null,null,null
6208,null,null,null,null
6209,null,null,null,null
6210,null,null,null,null
6211,null,null,null,null
6212,null,null,null,null
6213,null,null,null,null
6214,null,null,null,null
6215,null,null,null,null
6216,null,null,null,null
6217,null,null,null,null
6218,null,null,null,null
6219,null,null,null,null
6220,null,null,null,null
6221,null,null,null,null
6222,null,null,null,null
6223,null,null,null,null
6224,null,null,null,null
6225,null,null,null,null
6226,null,null,null,null
6227,null,null,null,null
6228,null,null,null,null
6229,null,null,null,null
6230,null,null,null,null
6231,null,null,null,null
6232,null,null,null,null
6233,null,null,null,null
6234,null,null,null,null
6235,null,null,null,null
6236,null,null,null,null
6237,null,null,null,null
6238,null,null,null,null
6239,null,null,null,null
6240,null,null,null,null
6241,null,null,null,null
6242,null,null,null,null
6243,null,null,null,null
6244,null,null,null,null
6245,null,null,null,null
6246,null,null,null,null
6247,null,null,null,null
6248,null,null,null,null
6249,null,null,null,null
6250,null,null,null,null
6251,null,null,null,null
6252,null,null,null,null
6253,null,null,null,null
6254,null,null,null,null
6255,null,null,null,null
6256,null,null,null,null
6257,null,null,null,null
6258,null,null,null,null
6259,null,null,null,null
6260,null,null,null,null
6261,null,null,null,null
6262,null,null,null,null
6263,null,null,null,null
6264,null,null,null,null
6265,null,null,null,null
6266,null,null,null,null
6267,null,null,null,null
6268,null,null,null,null
6269,null,null,null,null
6270,null,null,null,null
6271,null,null,null,null
6272,null,null,null,null
6273,null,null,null,null
6274,null,null,null,null
6275,null,null,null,null
6276,null,null,null,null
6277,null,null,null,null
6278,null,null,null,null
6279,null,null,null,null
6280,null,null,null,null
6281,null,null,null,null
6282,null,null,null,null
6283,null,null,null,null
6284,null,null,null,null
6285,null,null,null,null
6286,null,null,null,null
6287,null,null,null,null
6288,null,null,null,null
6289,null,null,null,null
6290,null,null,null,null
6291,null,null,null,null
6292,null,null,null,null
6293,null,null,null,null
6294,null,null,null,null
6295,null,null,null,null
6296,null,null,null,null
6297,null,null,null,null
6298,null,null,null,null
6299,null,null,null,null
6300,null,null,null,null
6301,null,null,null,null
6302,null,null,null,null
6303,null,null,null,null
6304,null,null,null,null
6305,null,null,null,null
6306,null,null,null,null
6307,null,null,null,null
6308,null,null,null,null
6309,null,null,null,null
6310,null,null,null,null
6311,null,null,null,null
6312,null,null,null,null
6313,null,null,null,null
6314,null,null,null,null
6315,null,null,null,null
6316,null,null,null,null
6317,null,null,null,null
6318,null,null,null,null
6319,null,null,null,null
6320,null,null,null,null
6321,null,null,null,null
6322,null,null,null,null
6323,null,null,null,null
6324,null,null,null,null
6325,null,null,null,null
6326,null,null,null,null
6327,null,null,null,null
6328,null,null,null,null
6329,null,null,null,null
6330,null,null,null,null
6331,null,null,null,null
6332,null,null,null,null
6333,null,null,null,null
6334,null,null,null,null
6335,null,null,null,null
6336,null,null,null,null
6337,null,null,null,null
6338,null,null,null,null
6339,null,null,null,null
6340,null,null,null,null
6341,null,null,null,null
6342,null,null,null,null
6343,null,null,null,null
6344,null,null,null,null
6345,null,null,null,null
6346,null,null,null,null
6347,null,null,null,null
6348,null,null,null,null
6349,null,null,null,null
6350,null,null,null,null
6351,null,null,null,null
6352,null,null,null,null
6353,null,null,null,null
6354,null,null,null,null
6355,null,null,null,null
6356,null,null,null,null
6357,null,null,null,null
6358,null,null,null,null
6359,null,null,null,null
6360,null,null,null,null
6361,null,null,null,null
6362,null,null,null,null
6363,null,null,null,null
6364,null,null,null,null
6365,null,null,null,null
6366,null,null,null,null
6367,null,null,null,null
6368,null,null,null,null
6369,null,null,null,null
6370,null,null,null,null
6371,null,null,null,null
6372,null,null,null,null
6373,null,null,null,null
6374,null,null,null,null
6375,null,null,null,null
6376,null,null,null,null
6377,null,null,null,null
6378,null,null,null,null
6379,null,null,null,null
6380,null,null,null,null
6381,null,null,null,null
6382,null,null,null,null
6383,null,null,null,null
6384,null,null,null,null
6385,null,null,null,null
6386,null,null,null,null
6387,null,null,null,null
6388,null,null,null,null
6389,null,null,null,null
6390,null,null,null,null
6391,null,null,null,null
6392,null,null,null,null
6393,null,null,null,null
6394,null,null,null,null
6395,null,null,null,null
6396,null,null,null,null
6397,null,null,null,null
6398,null,null,null,null
6399,null,null,null,null
6400,null,null,null,null
6401,null,null,null,null
6402,null,null,null,null
6403,null,null,null,null
6404,null,null,null,null
6405,null,null,null,null
6406,null,null,null,null
6407,null,null,null,null
6408,null,null,null,null
6409,null,null,null,null
6410,null,null,null,null
6411,null,null,null,null
6412,null,null,null,null
6413,null,null,null,null
6414,null,null,null,null
6415,null,null,null,null
6416,null,null,null,null
6417,null,null,null,null
6418,null,null,null,null
6419,null,null,null,null
6420,null,null,null,null
6421,null,null,null,null
6422,null,null,null,null
6423,null,null,null,null
6424,null,null,null,null
6425,null,null,null,null
6426,null,null,null,null
6427,null,null,null,null
6428,null,null,null,null
6429,null,null,null,null
6430,null,null,null,null
6431,null,null,null,null
6432,null,null,null,null
6433,null,null,null,null
6434,null,null,null,null
6435,null,null,null,null
6436,null,null,null,null
6437,null,null,null,null
6438,null,null,null,null
6439,null,null,null,null
6440,null,null,null,null
6441,null,null,null,null
6442,null,null,null,null
6443,null,null,null,null
6444,null,null,null,null
6445,null,null,null,null
6446,null,null,null,null
6447,null,null,null,null
6448,null,null,null,null
6449,null,null,null,null
6450,null,null,null,null
6451,null,null,null,null
6452,null,null,null,null
6453,null,null,null,null
6454,null,null,null,null
6455,null,null,null,null
6456,null,null,null,null
6457,null,null,null,null
6458,null,null,null,null
6459,null,null,null,null
6460,null,null,null,null
6461,null,null,null,null
6462,null,null,null,null
6463,null,null,null,null
6464,null,null,null,null
6465,null,null,null,null
6466,null,null,null,null
6467,null,null,null,null
6468,null,null,null,null
6469,null,null,null,null
6470,null,null,null,null
6471,null,null,null,null
6472,null,null,null,null
6473,null,null,null,null
6474,null,null,null,null
6475,null,null,null,null
6476,null,null,null,null
6477,null,null,null,null
6478,null,null,null,null
6479,null,null,null,null
6480,null,null,null,null
6481,null,null,null,null
6482,null,null,null,null
6483,null,null,null,null
6484,null,null,null,null
6485,null,null,null,null
6486,null,null,null,null
6487,null,null,null,null
6488,null,null,null,null
6489,null,null,null,null
6490,null,null,null,null
6491,null,null,null,null
6492,null,null,null,null
6493,null,null,null,null
6494,null,null,null,null
6495,null,null,null,null
6496,null,null,null,null
6497,null,null,null,null
6498,null,null,null,null
6499,null,null,null,null
6500,null,null,null,null
6501,null,null,null,null
6502,null,null,null,null
6503,null,null,null,null
6504,null,null,null,null
6505,null,null,null,null
6506,null,null,null,null
6507,null,null,null,null
6508,null,null,null,null
6509,null,null,null,null
6510,null,null,null,null
6511,null,null,null,null
6512,null,null,null,null
6513,null,null,null,null
6514,null,null,null,null
6515,null,null,null,null
6516,null,null,null,null
6517,null,null,null,null
6518,null,null,null,null
6519,null,null,null,null
6520,null,null,null,null
6521,null,null,null,null
6522,null,null,null,null
6523,null,null,null,null
6524,null,null,null,null
6525,null,null,null,null
6526,null,null,null,null
6527,null,null,null,null
6528,null,null,null,null
6529,null,null,null,null
6530,null,null,null,null
6531,null,null,null,null
6532,null,null,null,null
6533,null,null,null,null
6534,null,null,null,null
6535,null,null,null,null
6536,null,null,null,null
6537,null,null,null,null
6538,null,null,null,null
6539,null,null,null,null
6540,null,null,null,null
6541,null,null,null,null
6542,null,null,null,null
6543,null,null,null,null
6544,null,null,null,null
6545,null,null,null,null
6546,null,null,null,null
6547,null,null,null,null
6548,null,null,null,null
6549,null,null,null,null
6550,null,null,null,null
6551,null,null,null,null
6552,null,null,null,null
6553,null,null,null,null
6554,null,null,null,null
6555,null,null,null,null
6556,null,null,null,null
6557,null,null,null,null
6558,null,null,null,null
6559,null,null,null,null
6560,null,null,null,null
6561,null,null,null,null
6562,null,null,null,null
6563,null,null,null,null
6564,null,null,null,null
6565,null,null,null,null
6566,null,null,null,null
6567,null,null,null,null
6568,null,null,null,null
6569,null,null,null,null
6570,null,null,null,null
6571,null,null,null,null
6572,null,null,null,null
6573,null,null,null,null
6574,null,null,null,null
6575,null,null,null,null
6576,null,null,null,null
6577,null,null,null,null
6578,null,null,null,null
6579,null,null,null,null
6580,null,null,null,null
6581,null,null,null,null
6582,null,null,null,null
6583,null,null,null,null
6584,null,null,null,null
6585,null,null,null,null
6586,null,null,null,null
6587,null,null,null,null
6588,null,null,null,null
6589,null,null,null,null
6590,null,null,null,null
6591,null,null,null,null
6592,null,null,null,null
6593,null,null,null,null
6594,null,null,null,null
6595,null,null,null,null
6596,null,null,null,null
6597,null,null,null,null
6598,null,null,null,null
6599,null,null,null,null
6600,null,null,null,null
6601,null,null,null,null
6602,null,null,null,null
6603,null,null,null,null
6604,null,null,null,null
6605,null,null,null,null
6606,null,null,null,null
6607,null,null,null,null
6608,null,null,null,null
6609,null,null,null,null
6610,null,null,null,null
6611,null,null,null,null
6612,null,null,null,null
6613,null,null,null,null
6614,null,null,null,null
6615,null,null,null,null
6616,null,null,null,null
6617,null,null,null,null
6618,null,null,null,null
6619,null,null,null,null
6620,null,null,null,null
6621,null,null,null,null
6622,null,null,null,null
6623,null,null,null,null
6624,null,null,null,null
6625,null,null,null,null
6626,null,null,null,null
6627,null,null,null,null
6628,null,null,null,null
6629,null,null,null,null
6630,null,null,null,null
6631,null,null,null,null
6632,null,null,null,null
6633,null,null,null,null
6634,null,null,null,null
6635,null,null,null,null
6636,null,null,null,null
6637,null,null,null,null
6638,null,null,null,null
6639,null,null,null,null
6640,null,null,null,null
6641,null,null,null,null
6642,null,null,null,null
6643,null,null,null,null
6644,null,null,null,null
6645,null,null,null,null
6646,null,null,null,null
6647,null,null,null,null
6648,null,null,null,null
6649,null,null,null,null
6650,null,null,null,null
6651,null,null,null,null
6652,null,null,null,null
6653,null,null,null,null
6654,null,null,null,null
6655,null,null,null,null
6656,null,null,null,null
6657,null,null,null,null
6658,null,null,null,null
6659,null,null,null,null
6660,null,null,null,null
6661,null,null,null,null
6662,null,null,null,null
6663,null,null,null,null
6664,null,null,null,null
6665,null,null,null,null
6666,null,null,null,null
6667,null,null,null,null
6668,null,null,null,null
6669,null,null,null,null
6670,null,null,null,null
6671,null,null,null,null
6672,null,null,null,null
6673,null,null,null,null
6674,null,null,null,null
6675,null,null,null,null
6676,null,null,null,null
6677,null,null,null,null
6678,null,null,null,null
6679,null,null,null,null
6680,null,null,null,null
6681,null,null,null,null
6682,null,null,null,null
6683,null,null,null,null
6684,null,null,null,null
6685,null,null,null,null
6686,null,null,null,null
6687,null,null,null,null
6688,null,null,null,null
6689,null,null,null,null
6690,null,null,null,null
6691,null,null,null,null
6692,null,null,null,null
6693,null,null,null,null
6694,null,null,null,null
6695,null,null,null,null
6696,null,null,null,null
6697,null,null,null,null
6698,null,null,null,null
6699,null,null,null,null
6700,null,null,null,null
6701,null,null,null,null
6702,null,null,null,null
6703,null,null,null,null
6704,null,null,null,null
6705,null,null,null,null
6706,null,null,null,null
6707,null,null,null,null
6708,null,null,null,null
6709,null,null,null,null
6710,null,null,null,null
6711,null,null,null,null
6712,null,null,null,null
6713,null,null,null,null
6714,null,null,null,null
6715,null,null,null,null
6716,null,null,null,null
6717,null,null,null,null
6718,null,null,null,null
6719,null,null,null,null
6720,null,null,null,null
6721,null,null,null,null
6722,null,null,null,null
6723,null,null,null,null
6724,null,null,null,null
6725,null,null,null,null
6726,null,null,null,null
6727,null,null,null,null
6728,null,null,null,null
6729,null,null,null,null
6730,null,null,null,null
6731,null,null,null,null
6732,null,null,null,null
6733,null,null,null,null
6734,null,null,null,null
6735,null,null,null,null
6736,null,null,null,null
6737,null,null,null,null
6738,null,null,null,null
6739,null,null,null,null
6740,null,null,null,null
6741,null,null,null,null
6742,null,null,null,null
6743,null,null,null,null
6744,null,null,null,null
6745,null,null,null,null
6746,null,null,null,null
6747,null,null,null,null
6748,null,null,null,null
6749,null,null,null,null
6750,null,null,null,null
6751,null,null,null,null
6752,null,null,null,null
6753,null,null,null,null
6754,null,null,null,null
6755,null,null,null,null
6756,null,null,null,null
6757,null,null,null,null
6758,null,null,null,null
6759,null,null,null,null
6760,null,null,null,null
6761,null,null,null,null
6762,null,null,null,null
6763,null,null,null,null
6764,null,null,null,null
6765,null,null,null,null
6766,null,null,null,null
6767,null,null,null,null
6768,null,null,null,null
6769,null,null,null,null
6770,null,null,null,null
6771,null,null,null,null
6772,null,null,null,null
6773,null,null,null,null
6774,null,null,null,null
6775,null,null,null,null
6776,null,null,null,null
6777,null,null,null,null
6778,null,null,null,null
6779,null,null,null,null
6780,null,null,null,null
6781,null,null,null,null
6782,null,null,null,null
6783,null,null,null,null
6784,null,null,null,null
6785,null,null,null,null
6786,null,null,null,null
6787,null,null,null,null
6788,null,null,null,null
6789,null,null,null,null
6790,null,null,null,null
6791,null,null,null,null
6792,null,null,null,null
6793,null,null,null,null
6794,null,null,null,null
6795,null,null,null,null
6796,null,null,null,null
6797,null,null,null,null
6798,null,null,null,null
6799,null,null,null,null
6800,null,null,null,null
6801,null,null,null,null
6802,null,null,null,null
6803,null,null,null,null
6804,null,null,null,null
6805,null,null,null,null
6806,null,null,null,null
6807,null,null,null,null
6808,null,null,null,null
6809,null,null,null,null
6810,null,null,null,null
6811,null,null,null,null
6812,null,null,null,null
6813,null,null,null,null
6814,null,null,null,null
6815,null,null,null,null
6816,null,null,null,null
6817,null,null,null,null
6818,null,null,null,null
6819,null,null,null,null
6820,null,null,null,null
6821,null,null,null,null
6822,null,null,null,null
6823,null,null,null,null
6824,null,null,null,null
6825,null,null,null,null
6826,null,null,null,null
6827,null,null,null,null
6828,null,null,null,null
6829,null,null,null,null
6830,null,null,null,null
6831,null,null,null,null
6832,null,null,null,null
6833,null,null,null,null
6834,null,null,null,null
6835,null,null,null,null
6836,null,null,null,null
6837,null,null,null,null
6838,null,null,null,null
6839,null,null,null,null
6840,null,null,null,null
6841,null,null,null,null
6842,null,null,null,null
6843,null,null,null,null
6844,null,null,null,null
6845,null,null,null,null
6846,null,null,null,null
6847,null,null,null,null
6848,null,null,null,null
6849,null,null,null,null
6850,null,null,null,null
6851,null,null,null,null
6852,null,null,null,null
6853,null,null,null,null
6854,null,null,null,null
6855,null,null,null,null
6856,null,null,null,null
6857,null,null,null,null
6858,null,null,null,null
6859,null,null,null,null
6860,null,null,null,null
6861,null,null,null,null
6862,null,null,null,null
6863,null,null,null,null
6864,null,null,null,null
6865,null,null,null,null
6866,null,null,null,null
6867,null,null,null,null
6868,null,null,null,null
6869,null,null,null,null
6870,null,null,null,null
6871,null,null,null,null
6872,null,null,null,null
6873,null,null,null,null
6874,null,null,null,null
6875,null,null,null,null
6876,null,null,null,null
6877,null,null,null,null
6878,null,null,null,null
6879,null,null,null,null
6880,null,null,null,null
6881,null,null,null,null
6882,null,null,null,null
6883,null,null,null,null
6884,null,null,null,null
6885,null,null,null,null
6886,null,null,null,null
6887,null,null,null,null
6888,null,null,null,null
6889,null,null,null,null
6890,null,null,null,null
6891,null,null,null,null
6892,null,null,null,null
6893,null,null,null,null
6894,null,null,null,null
6895,null,null,null,null
6896,null,null,null,null
6897,null,null,null,null
6898,null,null,null,null
6899,null,null,null,null
6900,null,null,null,null
6901,null,null,null,null
6902,null,null,null,null
6903,null,null,null,null
6904,null,null,null,null
6905,null,null,null,null
6906,null,null,null,null
6907,null,null,null,null
6908,null,null,null,null
6909,null,null,null,null
6910,null,null,null,null
6911,null,null,null,null
6912,null,null,null,null
6913,null,null,null,null
6914,null,null,null,null
6915,null,null,null,null
6916,null,null,null,null
6917,null,null,null,null
6918,null,null,null,null
6919,null,null,null,null
6920,null,null,null,null
6921,null,null,null,null
6922,null,null,null,null
6923,null,null,null,null
6924,null,null,null,null
6925,null,null,null,null
6926,null,null,null,null
6927,null,null,null,null
6928,null,null,null,null
6929,null,null,null,null
6930,null,null,null,null
6931,null,null,null,null
6932,null,null,null,null
6933,null,null,null,null
6934,null,null,null,null
6935,null,null,null,null
6936,null,null,null,null
6937,null,null,null,null
6938,null,null,null,null
6939,null,null,null,null
6940,null,null,null,null
6941,null,null,null,null
6942,null,null,null,null
6943,null,null,null,null
6944,null,null,null,null
6945,null,null,null,null
6946,null,null,null,null
6947,null,null,null,null
6948,null,null,null,null
6949,null,null,null,null
6950,null,null,null,null
6951,null,null,null,null
6952,null,null,null,null
6953,null,null,null,null
6954,null,null,null,null
6955,null,null,null,null
6956,null,null,null,null
6957,null,null,null,null
6958,null,null,null,null
6959,null,null,null,null
6960,null,null,null,null
6961,null,null,null,null
6962,null,null,null,null
6963,null,null,null,null
6964,null,null,null,null
6965,null,null,null,null
6966,null,null,null,null
6967,null,null,null,null
6968,null,null,null,null
6969,null,null,null,null
6970,null,null,null,null
6971,null,null,null,null
6972,null,null,null,null
6973,null,null,null,null
6974,null,null,null,null
6975,null,null,null,null
6976,null,null,null,null
6977,null,null,null,null
6978,null,null,null,null
6979,null,null,null,null
6980,null,null,null,null
6981,null,null,null,null
6982,null,null,null,null
6983,null,null,null,null
6984,null,null,null,null
6985,null,null,null,null
6986,null,null,null,null
6987,null,null,null,null
6988,null,null,null,null
6989,null,null,null,null
6990,null,null,null,null
6991,null,null,null,null
6992,null,null,null,null
6993,null,null,null,null
6994,null,null,null,null
6995,null,null,null,null
6996,null,null,null,null
6997,null,null,null,null
6998,null,null,null,null
6999,null,null,null,null
7000,null,null,null,null
7001,null,null,null,null
7002,null,null,null,null
7003,null,null,null,null
7004,null,null,null,null
7005,null,null,null,null
7006,null,null,null,null
7007,null,null,null,null
7008,null,null,null,null
7009,null,null,null,null
7010,null,null,null,null
7011,null,null,null,null
7012,null,null,null,null
7013,null,null,null,null
7014,null,null,null,null
7015,null,null,null,null
7016,null,null,null,null
7017,null,null,null,null
7018,null,null,null,null
7019,null,null,null,null
7020,null,null,null,null
7021,null,null,null,null
7022,null,null,null,null
7023,null,null,null,null
7024,null,null,null,null
7025,null,null,null,null
7026,null,null,null,null
7027,null,null,null,null
7028,null,null,null,null
7029,null,null,null,null
7030,null,null,null,null
7031,null,null,null,null
7032,null,null,null,null
7033,null,null,null,null
7034,null,null,null,null
7035,null,null,null,null
7036,null,null,null,null
7037,null,null,null,null
7038,null,null,null,null
7039,null,null,null,null
7040,null,null,null,null
7041,null,null,null,null
7042,null,null,null,null
7043,null,null,null,null
7044,null,null,null,null
7045,null,null,null,null
7046,null,null,null,null
7047,null,null,null,null
7048,null,null,null,null
7049,null,null,null,null
7050,null,null,null,null
7051,null,null,null,null
7052,null,null,null,null
7053,null,null,null,null
7054,null,null,null,null
7055,null,null,null,null
7056,null,null,null,null
7057,null,null,null,null
7058,null,null,null,null
7059,null,null,null,null
7060,null,null,null,null
7061,null,null,null,null
7062,null,null,null,null
7063,null,null,null,null
7064,null,null,null,null
7065,null,null,null,null
7066,null,null,null,null
7067,null,null,null,null
7068,null,null,null,null
7069,null,null,null,null
7070,null,null,null,null
7071,null,null,null,null
7072,null,null,null,null
7073,null,null,null,null
7074,null,null,null,null
7075,null,null,null,null
7076,null,null,null,null
7077,null,null,null,null
7078,null,null,null,null
7079,null,null,null,null
7080,null,null,null,null
7081,null,null,null,null
7082,null,null,null,null
7083,null,null,null,null
7084,null,null,null,null
7085,null,null,null,null
7086,null,null,null,null
7087,null,null,null,null
7088,null,null,null,null
7089,null,null,null,null
7090,null,null,null,null
7091,null,null,null,null
7092,null,null,null,null
7093,null,null,null,null
7094,null,null,null,null
7095,null,null,null,null
7096,null,null,null,null
7097,null,null,null,null
7098,null,null,null,null
7099,null,null,null,null
7100,null,null,null,null
7101,null,null,null,null
7102,null,null,null,null
7103,null,null,null,null
7104,null,null,null,null
7105,null,null,null,null
7106,null,null,null,null
7107,null,null,null,null
7108,null,null,null,null
7109,null,null,null,null
7110,null,null,null,null
7111,null,null,null,null
7112,null,null,null,null
7113,null,null,null,null
7114,null,null,null,null
7115,null,null,null,null
7116,null,null,null,null
7117,null,null,null,null
7118,null,null,null,null
7119,null,null,null,null
7120,null,null,null,null
7121,null,null,null,null
7122,null,null,null,null
7123,null,null,null,null
7124,null,null,null,null
7125,null,null,null,null
7126,null,null,null,null
7127,null,null,null,null
7128,null,null,null,null
7129,null,null,null,null
7130,null,null,null,null
7131,null,null,null,null
7132,null,null,null,null
7133,null,null,null,null
7134,null,null,null,null
7135,null,null,null,null
7136,null,null,null,null
7137,null,null,null,null
7138,null,null,null,null
7139,null,null,null,null
7140,null,null,null,null
7141,null,null,null,null
7142,null,null,null,null
7143,null,null,null,null
7144,null,null,null,null
7145,null,null,null,null
7146,null,null,null,null
7147,null,null,null,null
7148,null,null,null,null
7149,null,null,null,null
7150,null,null,null,null
7151,null,null,null,null
7152,null,null,null,null
7153,null,null,null,null
7154,null,null,null,null
7155,null,null,null,null
7156,null,null,null,null
7157,null,null,null,null
7158,null,null,null,null
7159,null,null,null,null
7160,null,null,null,null
7161,null,null,null,null
7162,null,null,null,null
7163,null,null,null,null
7164,null,null,null,null
7165,null,null,null,null
7166,null,null,null,null
7167,null,null,null,null
7168,null,null,null,null
7169,null,null,null,null
7170,null,null,null,null
7171,null,null,null,null
7172,null,null,null,null
7173,null,null,null,null
7174,null,null,null,null
7175,null,null,null,null
7176,null,null,null,null
7177,null,null,null,null
7178,null,null,null,null
7179,null,null,null,null
7180,null,null,null,null
7181,null,null,null,null
7182,null,null,null,null
7183,null,null,null,null
7184,null,null,null,null
7185,null,null,null,null
7186,null,null,null,null
7187,null,null,null,null
7188,null,null,null,null
7189,null,null,null,null
7190,null,null,null,null
7191,null,null,null,null
7192,null,null,null,null
7193,null,null,null,null
7194,null,null,null,null
7195,null,null,null,null
7196,null,null,null,null
7197,null,null,null,null
7198,null,null,null,null
7199,null,null,null,null
7200,null,null,null,null
7201,null,null,null,null
7202,null,null,null,null
7203,null,null,null,null
7204,null,null,null,null
7205,null,null,null,null
7206,null,null,null,null
7207,null,null,null,null
7208,null,null,null,null
7209,null,null,null,null
7210,null,null,null,null
7211,null,null,null,null
7212,null,null,null,null
7213,null,null,null,null
7214,null,null,null,null
7215,null,null,null,null
7216,null,null,null,null
7217,null,null,null,null
7218,null,null,null,null
7219,null,null,null,null
7220,null,null,null,null
7221,null,null,null,null
7222,null,null,null,null
7223,null,null,null,null
7224,null,null,null,null
7225,null,null,null,null
7226,null,null,null,null
7227,null,null,null,null
7228,null,null,null,null
7229,null,null,null,null
7230,null,null,null,null
7231,null,null,null,null
7232,null,null,null,null
7233,null,null,null,null
7234,null,null,null,null
7235,null,null,null,null
7236,null,null,null,null
7237,null,null,null,null
7238,null,null,null,null
7239,null,null,null,null
7240,null,null,null,null
7241,null,null,null,null
7242,null,null,null,null
7243,null,null,null,null
7244,null,null,null,null
7245,null,null,null,null
7246,null,null,null,null
7247,null,null,null,null
7248,null,null,null,null
7249,null,null,null,null
7250,null,null,null,null
7251,null,null,null,null
7252,null,null,null,null
7253,null,null,null,null
7254,null,null,null,null
7255,null,null,null,null
7256,null,null,null,null
7257,null,null,null,null
7258,null,null,null,null
7259,null,null,null,null
7260,null,null,null,null
7261,null,null,null,null
7262,null,null,null,null
7263,null,null,null,null
7264,null,null,null,null
7265,null,null,null,null
7266,null,null,null,null
7267,null,null,null,null
7268,null,null,null,null
7269,null,null,null,null
7270,null,null,null,null
7271,null,null,null,null
7272,null,null,null,null
7273,null,null,null,null
7274,null,null,null,null
7275,null,null,null,null
7276,null,null,null,null
7277,null,null,null,null
7278,null,null,null,null
7279,null,null,null,null
7280,null,null,null,null
7281,null,null,null,null
7282,null,null,null,null
7283,null,null,null,null
7284,null,null,null,null
7285,null,null,null,null
7286,null,null,null,null
7287,null,null,null,null
7288,null,null,null,null
7289,null,null,null,null
7290,null,null,null,null
7291,null,null,null,null
7292,null,null,null,null
7293,null,null,null,null
7294,null,null,null,null
7295,null,null,null,null
7296,null,null,null,null
7297,null,null,null,null
7298,null,null,null,null
7299,null,null,null,null
7300,null,null,null,null
7301,null,null,null,null
7302,null,null,null,null
7303,null,null,null,null
7304,null,null,null,null
7305,null,null,null,null
7306,null,null,null,null
7307,null,null,null,null
7308,null,null,null,null
7309,null,null,null,null
7310,null,null,null,null
7311,null,null,null,null
7312,null,null,null,null
7313,null,null,null,null
7314,null,null,null,null
7315,null,null,null,null
7316,null,null,null,null
