Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
fulvic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@37,黄腐酸单元,gregtech:gt.metaitem.98
gadolinium chloride concentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11438,氯化钆浓缩液单元,bartworks:gt.bwMetaGeneratedcell
gadolinium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11415,钆萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
gammabutyrolactone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30776,γ-丁内酯单元,gregtech:gt.metaitem.01
gas_gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30735,炼油气单元,gregtech:gt.metaitem.01
gas_natural_gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30733,天然气单元,gregtech:gt.metaitem.01
gas_sulfuricgas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30734,含硫炼油气单元,gregtech:gt.metaitem.01
gasoline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30997,汽油单元,gregtech:gt.metaitem.01
gelatinmixture,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@32,Gelatin Mixture Cell,gregtech:gt.metaitem.98
gem sluice,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25119,宝石泥浆单元,bartworks:gt.bwMetaGeneratedcell
glass,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.for.bucketGlass@0,液态玻璃桶,Forestry:bucketGlass
glass.molten,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.tconstruct.bucket@13,桶装熔融玻璃,TConstruct:buckets
glass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@13,黏土桶(熔融玻璃),IguanaTweaksTConstruct:clayBucketsTinkers
glow thorium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25126,荧光钍燃料单元,bartworks:gt.bwMetaGeneratedcell
glue,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.tconstruct.bucket@25,桶装黏性凝胶,TConstruct:buckets
glue,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@25,黏土桶(凝胶),IguanaTweaksTConstruct:clayBucketsTinkers
glycerol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30629,甘油单元,gregtech:gt.metaitem.01
glyceryl,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30714,硝化甘油单元,gregtech:gt.metaitem.01
glyoxal,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25033,乙二醛单元,bartworks:gt.bwMetaGeneratedcell
gold.molten,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.tconstruct.bucket@1,桶装熔融金,TConstruct:buckets
gold.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@1,黏土桶(熔融金),IguanaTweaksTConstruct:clayBucketsTinkers
grade1purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30554,过滤澄清水(一级净化水)单元,gregtech:gt.metaitem.01
grade2purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30555,臭氧处理水(二级净化水)单元,gregtech:gt.metaitem.01
grade3purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30556,絮凝沉降水(三级净化水)单元,gregtech:gt.metaitem.01
grade4purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30557,酸碱中和水(四级净化水)单元,gregtech:gt.metaitem.01
grade5purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30558,极温净化水(五级净化水)单元,gregtech:gt.metaitem.01
grade6purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30559,紫外辐照水(六级净化水)单元,gregtech:gt.metaitem.01
grade7purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30560,去杂脱气水(七级净化水)单元,gregtech:gt.metaitem.01
grade8purifiedwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30561,理想微粒水(八级净化水)单元,gregtech:gt.metaitem.01
gravel sluice,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25116,沙砾泥浆单元,bartworks:gt.bwMetaGeneratedcell
greensapphirejuice,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30415,绿色蓝宝石汁单元,gregtech:gt.metaitem.01
growthmediumraw,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30608,培养基原液单元,gregtech:gt.metaitem.01
growthmediumsterilized,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30609,无菌培养基单元,gregtech:gt.metaitem.01
hafnium tetrachloride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11004,四氯化铪溶液单元,bartworks:gt.bwMetaGeneratedcell
hcl10,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12312,HCl10单元,bartworks:gt.bwMetaGeneratedcell
hcl100,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12313,HCl100单元,bartworks:gt.bwMetaGeneratedcell
hcl1000,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12314,HCl1000单元,bartworks:gt.bwMetaGeneratedcell
hcl10000,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12315,HCl10000单元,bartworks:gt.bwMetaGeneratedcell
hcl100000,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12316,HCl100000单元,bartworks:gt.bwMetaGeneratedcell
headedbauxiteslurry,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30410,热铝土泥浆单元,gregtech:gt.metaitem.01
heated fulvic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@38,热黄腐酸单元,gregtech:gt.metaitem.98
heavy naquadah fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10026,重质硅岩燃料单元,bartworks:gt.bwMetaGeneratedcell
heavyradox,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@29,重拉多X单元,gregtech:gt.metaitem.98
helium,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30004,氦单元,gregtech:gt.metaitem.01
helium-3,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30005,氦-3单元,gregtech:gt.metaitem.01
hell_blood,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket.blood@0,黏土桶(血),IguanaTweaksTConstruct:clayBucketBlood
hexachlorodisilane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30973,六氯乙硅烷单元,gregtech:gt.metaitem.01
hexafluorosilicic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@98,氟硅酸单元,bartworks:gt.bwMetaGeneratedcell
highly energetic dimensional entropic fluid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@20011,高能维度熵流体单元,bartworks:gt.bwMetaGeneratedcell
highoctanegasoline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30998,高辛烷值汽油单元,gregtech:gt.metaitem.01
holmium chloride concentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11441,氯化钬浓缩液单元,bartworks:gt.bwMetaGeneratedcell
holmium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11421,钬萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
holywater,250,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xgt.metaitem.02@32137,圣水,gregtech:gt.metaitem.02
holywater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30729,圣水单元,gregtech:gt.metaitem.01
honey,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.HoneyBucket@0,蜂蜜桶,sciencenotleisure:HoneyBucket
honey,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@8,蜂蜜魔力胶囊,MagicBees:capsule.magic
honey,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@8,蜂蜜虚空胶囊,MagicBees:capsule.void
hootch,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.bucketHootch@0,桶装烈酒,EnderIO:bucketHootch
hot ruthenium tetroxide solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@67,热四氧化钌溶液单元,bartworks:gt.bwMetaGeneratedcell
hot super coolant,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11361,热超级冷却液单元,bartworks:gt.bwMetaGeneratedcell
hotfryingoil,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30727,热煎炸油单元,gregtech:gt.metaitem.01
hydrobromic acid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25016,氢溴酸单元,bartworks:gt.bwMetaGeneratedcell
hydrochloricacid_gt5u,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30683,氢氯酸单元,gregtech:gt.metaitem.01
hydrofluoricacid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@15,工业氢氟酸单元,IC2:itemCellEmpty
hydrofluoricacid_gt5u,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30667,氢氟酸单元,gregtech:gt.metaitem.01
hydrogen,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30001,氢单元,gregtech:gt.metaitem.01
hydrogenchloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@18,工业氯化氢单元,IC2:itemCellEmpty
hydrogencyanide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellHydrogenCyanide@0,氢氰酸单元,miscutils:itemCellHydrogenCyanide
hydroquinone,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25101,对苯二酚单元,bartworks:gt.bwMetaGeneratedcell
hydroxylamine hydrochloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25021,盐酸羟胺单元,bartworks:gt.bwMetaGeneratedcell
hypochlorousacid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30684,次氯酸单元,gregtech:gt.metaitem.01
ic2biogas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@7,沼气单元,IC2:itemCellEmpty
ic2biomass,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@6,生物质单元,IC2:itemCellEmpty
ic2constructionfoam,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@4,建筑泡沫单元,IC2:itemCellEmpty
ic2coolant,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@9,冷却液单元,IC2:itemCellEmpty
ic2distilledwater,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@12,蒸馏水单元,IC2:itemCellEmpty
ic2hotcoolant,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@10,热冷却液单元,IC2:itemCellEmpty
ic2pahoehoelava,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@11,熔岩岩浆单元,IC2:itemCellEmpty
ic2steam,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@14,蒸汽单元,IC2:itemCellEmpty
ic2superheatedsteam,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@13,过热蒸汽单元,IC2:itemCellEmpty
ic2uumatter,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@3,UU物质单元,IC2:itemCellEmpty
ice,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canIce@0,冰罐,Forestry:canIce
ice,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@10,冰魔力胶囊,MagicBees:capsule.magic
ice,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@10,冰虚空胶囊,MagicBees:capsule.void
ice,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.for.bucketIce@0,碎冰桶,Forestry:bucketIce
ice,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30702,冰单元,gregtech:gt.metaitem.01
ice,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleIce@0,耐火冰胶囊,Forestry:waxCapsuleIce
ice,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryIce@0,耐火冰胶囊,Forestry:refractoryIce
impure ferrocene mixture,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10090,含杂二茂铁混合物单元,bartworks:gt.bwMetaGeneratedcell
inactivecosmicsolder,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30114,惰性寰宇焊料单元,gregtech:gt.metaitem.01
indiumconcentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@25,铟富集溶液单元,gregtech:gt.metaitem.98
invar.molten,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.tconstruct.bucket@21,桶装熔融殷钢,TConstruct:buckets
invar.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@21,黏土桶(熔融殷钢),IguanaTweaksTConstruct:clayBucketsTinkers
iodine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11012,碘单元,bartworks:gt.bwMetaGeneratedcell
iron ii chloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10088,氯化亚铁单元,bartworks:gt.bwMetaGeneratedcell
iron.molten,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.tconstruct.bucket@0,桶装熔融铁,TConstruct:buckets
iron.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@0,黏土桶(熔融铁),IguanaTweaksTConstruct:clayBucketsTinkers
ironiiichloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30693,三氯化铁单元,gregtech:gt.metaitem.01
isobutyraldehyde,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30792,异丁醛单元,gregtech:gt.metaitem.01
isoprene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30638,异戊二烯单元,gregtech:gt.metaitem.01
isopropylbenzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30688,异丙苯单元,gregtech:gt.metaitem.01
jet fuel a,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10095,航空煤油A单元,bartworks:gt.bwMetaGeneratedcell
jet fuel no.3,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10094,航空煤油#3单元,bartworks:gt.bwMetaGeneratedcell
juice,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryJuice@0,耐火果汁胶囊,Forestry:refractoryJuice
juice,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.for.bucketJuice@0,果汁桶,Forestry:bucketJuice
juice,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canJuice@0,果汁罐,Forestry:canJuice
juice,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@9,果汁魔力胶囊,MagicBees:capsule.magic
juice,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@9,果汁虚空胶囊,MagicBees:capsule.void
juice,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleJuice@0,耐火果汁胶囊,Forestry:waxCapsuleJuice
kerogen,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@39,油母质单元,gregtech:gt.metaitem.98
krypton,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.itemCellKrypton@0,氪单元,miscutils:itemCellKrypton
krypton,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@42,氪单元,bartworks:gt.bwMetaGeneratedcell
l.c.l,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@12306,L.C.L单元,bartworks:gt.bwMetaGeneratedcell
landoxides solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25057,镧-钕氧化物单元,bartworks:gt.bwMetaGeneratedcell
lanthanum chloride concentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11431,氯化镧浓缩液单元,bartworks:gt.bwMetaGeneratedcell
lanthanum extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11401,镧萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
large baka,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@25108,𫟼苯氮单元,bartworks:gt.bwMetaGeneratedcell
latex,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.containerCan@130,乳胶胶囊,BinnieCore:containerCan
latex,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@130,乳胶玻璃罐,BinnieCore:containerCylinder
latex,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.containerBucket@130,乳胶桶,BinnieCore:containerBucket
latex,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.containerGlass@130,乳胶瓶,BinnieCore:containerGlass
latex,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.containerRefractory@130,乳胶耐火胶囊,BinnieCore:containerRefractory
latex,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.containerCapsule@130,乳胶胶囊,BinnieCore:containerCapsule
lava,1000,0xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket.Lava@0,黏土桶(岩浆),IguanaTweaksTConstruct:clayBucketLava
lava,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@2,岩浆单元,IC2:itemCellEmpty
lava,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryLava@0,耐火岩浆胶囊,Forestry:refractoryLava
lava,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@2,岩浆魔力胶囊,MagicBees:capsule.magic
lava,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canLava@0,岩浆罐,Forestry:canLava
lava,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@2,岩浆虚空胶囊,MagicBees:capsule.void
lava,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.bucketLava@0,岩浆桶,minecraft:lava_bucket
lead.molten,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.tconstruct.bucket@18,桶装熔融铅,TConstruct:buckets
lead.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,黏土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@18,黏土桶(熔融铅),IguanaTweaksTConstruct:clayBucketsTinkers
leadzincsolution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@26,铅锌溶液单元,gregtech:gt.metaitem.98
lifeessence,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30694,生命本质单元,gregtech:gt.metaitem.01
lifeessence,1000,1xitem.bucket@0,铁桶,minecraft:bucket,1xitem.bucketLife@0,生命之桶,AWWayofTime:bucketLife
light naquadah fuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10025,轻质硅岩燃料单元,bartworks:gt.bwMetaGeneratedcell
lightlyhydrocracked.butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10646,轻度加氢裂化丁二烯单元,gregtech:gt.metaitem.99
lightlyhydrocracked.butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10644,轻度加氢裂化丁烷单元,gregtech:gt.metaitem.99
lightlyhydrocracked.butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10645,轻度加氢裂化丁烯单元,gregtech:gt.metaitem.99
lightlyhydrocracked.ethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10642,轻度加氢裂化乙烷单元,gregtech:gt.metaitem.99
lightlyhydrocracked.ethylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10677,轻度加氢裂化乙烯单元,gregtech:gt.metaitem.99
lightlyhydrocracked.gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10735,轻度加氢裂化炼油气单元,gregtech:gt.metaitem.99
lightlyhydrocracked.heavyfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10741,轻度加氢裂化重燃油单元,gregtech:gt.metaitem.99
lightlyhydrocracked.lightfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10740,轻度加氢裂化轻燃油单元,gregtech:gt.metaitem.99
lightlyhydrocracked.naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10739,轻度加氢裂化石脑油单元,gregtech:gt.metaitem.99
lightlyhydrocracked.propane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10643,轻度加氢裂化丙烷单元,gregtech:gt.metaitem.99
lightlyhydrocracked.propene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@10678,轻度加氢裂化丙烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13646,轻度蒸汽裂化丁二烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13644,轻度蒸汽裂化丁烷单元,gregtech:gt.metaitem.99
lightlysteamcracked.butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13645,轻度蒸汽裂化丁烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.ethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13642,轻度蒸汽裂化乙烷单元,gregtech:gt.metaitem.99
lightlysteamcracked.ethylene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13677,轻度蒸汽裂化乙烯单元,gregtech:gt.metaitem.99
lightlysteamcracked.gas,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13735,轻度蒸汽裂化炼油气单元,gregtech:gt.metaitem.99
lightlysteamcracked.heavyfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13741,轻度蒸汽裂化重燃油单元,gregtech:gt.metaitem.99
lightlysteamcracked.lightfuel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13740,轻度蒸汽裂化轻燃油单元,gregtech:gt.metaitem.99
lightlysteamcracked.naphtha,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13739,轻度蒸汽裂化石脑油单元,gregtech:gt.metaitem.99
lightlysteamcracked.propane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.99@13643,轻度蒸汽裂化丙烷单元,gregtech:gt.metaitem.99
