ID,Name,Unlocalised Name,Flavour Text,Unlocalized Flavour Text,Creator,Color 1,Color 2,Seed Shape,Render Shape,Soil Type,Tier,Min Seed Bed Tier,Liked Biomes,Growth Duration,Breeding Threshold,Crossing Threshold,Starts Spreading Weeds If Growth Above,Growth Requirements,Drop Count Multiplier,Drop Table,Alternate Seeds
cropsnh:lazulia,青金石草,cropsnh_crops.lazulia,,,CropsNH Team,0xFF142EAF,0xFF7497EA,vanilla,Hash,stone,7,-1,"HOT, SANDY",2800,0.8,0.8,24,需要在其下方放置青金石块才能生长,0.6983373,1 x 青金石 @ 33.33% | 1 x 青金石粉 @ 66.67%,
cropsnh:lemon,柠檬,cropsnh_crops.lemon,,,CropsNH Team,0xFFD8950C,0xFFFFEF83,vanilla,X,dirt,4,-1,"HOT, PLAINS, DRY",800,0.8,0.8,24,,0.81450623,1 x 柠檬 @ 100.0%,柠檬 | 柠檬 | 柠檬树苗
cropsnh:liveroot,活根,cropsnh_crops.liveroot,,,Benimatic,0xFF877B00,0xFFB9DA49,vanilla,Hash,farmland,8,-1,"SPOOKY, DENSE",4800,0.8,0.8,24,,0.66342044,1 x 活根粉 @ 75.0% | 1 x 活根 @ 75.0%,
cropsnh:magicalNightshade,魔力夜颠茄,cropsnh_crops.magicalNightshade,,,bartimaeusnek,0xFF20001B,0xFFB4009C,magic,Hash,farmland,13,3,"COLD, MAGICAL",23436,0.8,0.8,24,需要在其下方放置暗影金属才能生长 | 只能在工业农场中收获,0.38500655,1 x 源质 @ 100.0%,源质
cropsnh:malaxia,铜粉草,cropsnh_crops.malaxia,,,CropsNH Team,0xFFB26003,0xFFD77106,vanilla,Hash,stone,6,-1,"PLAINS, LUSH",2800,0.8,0.8,24,需要在其下方放置铜块才能生长,0.73509187,1 x 小撮铜粉 @ 100.0%,
cropsnh:maloberry,桑葚,cropsnh_crops.maloberry,,,bartimaeusnek,0xFFCE5939,0xFFE8B064,vanilla,Hash,farmland,2,-1,"LUSH, COLD, WET",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,3 x 桑葚 @ 100.0%,桑葚 | 醋栗 | 醋栗 | 桑葚
cropsnh:manaBean,魔豆,cropsnh_crops.manaBean,,,kuba6000,0xFF135C43,0xFF2AAF83,magic,X,thaumLogs,5,-1,"MAGICAL, FOREST",2000,0.8,0.8,24,需要在其下方放置复相魔晶才能生长,0.77378094,"1 x 魔豆{Aspects:[0:{amount:1,key:""ignis""}]} @ 16.66% | 1 x 魔豆{Aspects:[0:{amount:1,key:""terra""}]} @ 16.66% | 1 x 魔豆{Aspects:[0:{amount:1,key:""perditio""}]} @ 16.66% | 1 x 魔豆{Aspects:[0:{amount:1,key:""ordo""}]} @ 16.66% | 1 x 魔豆{Aspects:[0:{amount:1,key:""aqua""}]} @ 16.66% | 1 x 魔豆{Aspects:[0:{amount:1,key:""aer""}]} @ 16.66%",
cropsnh:mandrake,曼德拉草,tile.witchery:mandrake.name,,,bartimaeusnek,0xFF755239,0xFFBD9A61,magic,Hash,farmland,4,-1,"SPOOKY, MAGICAL",1100,0.8,0.8,24,,0.40725312,1 x 曼德拉草根 @ 100.0%,曼德拉种子
cropsnh:marbleLily,大理莲,cropsnh_crops.marbleLily,,,bartimaeusnek,0xFFC8C8C8,0xFFF0F0F0,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置大理石才能生长,0.95,9 x 大理石粉 @ 100.0%,
cropsnh:meatrose,肉玫瑰,cropsnh_crops.meatrose,,,VintageBeef,0xFFDD3830,0xFFEF7070,flower,Hash,dirt,7,-1,"PLAINS, MAGICAL",4200,0.8,0.8,24,需要亮度等级为 9 以上,0.6983373,1 x 生鸡肉 @ 10.0% | 1 x 生牛肉 @ 10.0% | 1 x 生鳕鱼 @ 10.0% | 1 x 生猪排 @ 10.0% | 1 x 粉红色染料 @ 60.0%,
cropsnh:melon,西瓜,tile.melon.name,,,Notch,0xFF2A220B,0xFF615535,grains,Hash,farmland,2,-1,"LUSH, WET",1200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 西瓜 @ 33.33% | 4 x 西瓜片 @ 66.66%,西瓜种子
cropsnh:micadia,云母草,cropsnh_crops.micadia,,,bartimaeusnek,0xFFD5CCC3,0xFFF4F2EF,vanilla,Hash,stone,9,-1,"HILLS, SPARSE",1800,0.8,0.8,24,需要在其下方放置云母矿石或白铜线圈方块才能生长,0.6302494,1 x 云母花 @ 100.0%,
cropsnh:migrator,cropsnh_crops.migrator,cropsnh_crops.migrator,,,C0bra5,0xFFFF00FF,0xFF8A028A,vanilla,Hash,global,1,-1,,1,-1.0,-1.0,32,无效的土壤！破坏作物来获得种子！,0.95,,
cropsnh:milkWart,牛奶疣,cropsnh_crops.milkWart,,,Mr. Brain,0xFFA8A8A8,0xFFECECEC,spore,Hash,farmland,6,-1,"PLAINS, LUSH",2400,0.8,0.8,24,,0.73509187,1 x 牛奶疣 @ 100.0%,
cropsnh:moss,苔藓,tile.moss.name,,,bartimaeusnek,0xFF256319,0xFF3A9126,vanilla,Hash,farmland,4,-1,"LUSH, SWAMP, WET",450,0.8,0.8,24,,0.81450623,1 x 苔藓 @ 5.0% | 1 x 苔藓 @ 30.0% | 1 x 树藓 @ 65.0%,苔藓 | 苔藓 | 树藓
cropsnh:necrobloom,死灵花,cropsnh_crops.necrobloom,,,CropsNH Team,0xFF440F69,0xFF8921CC,flower,Hash,farmland,3,-1,"DEAD, WASTELAND",1800,0.8,0.8,8,,0.857375,1 x 紫色染料 @ 5.0% | 1 x 含毒粉末 @ 95.0%,
cropsnh:netherStoneLily,地狱岩莲,cropsnh_crops.netherStoneLily,,,bartimaeusnek,0xFF911717,0xFFC21F1F,vanilla,X,stone,1,-1,"HOT, DRY, NETHER",600,0.8,0.8,24,需要在其下方放置地狱岩才能生长,0.95,9 x 地狱岩粉 @ 100.0%,
cropsnh:netherwart,地狱疣,item.netherStalkSeeds.name,,,Notch,0xFF4D1115,0xFFBE3F4A,spore,Hash,soulsand,5,-1,"HOT, NETHER",2000,0.8,0.8,24,,2.0,1 x 地狱疣 @ 100.0%,地狱疣
cropsnh:nickelback,镍叶草,cropsnh_crops.nickelback,在风中发出悦耳的嗡鸣声,cropsnh_crops.nickelback.flavour,CropsNH Team,0xFF7E81AD,0xFFB7B8E9,vanilla,Hash,stone,5,-1,"PLAINS, LUSH",1000,0.8,0.8,24,需要在其下方放置镍块才能生长,0.77378094,1 x 镍叶 @ 100.0%,
cropsnh:oilBerry,石油浆果丛,cropsnh_crops.oilBerry,,,Spacetoad,0xFF0A0A0A,0xFF333333,vanilla,Hash,sand+gravel+soulsand+oilSands,4,-1,"HOT, WASTELAND",1200,0.8,0.8,24,,0.81450623,2 x 石油浆果 @ 100.0%,
cropsnh:olivia,橄榄石草,cropsnh_crops.olivia,,,CropsNH Team,0xFF79CD79,0xFF96FF96,vanilla,Hash,stone,2,-1,"HILLS, DRY",400,0.8,0.8,24,需要在其下方放置橄榄石才能生长,0.9025,1 x 橄榄石 @ 25.0% | 1 x 橄榄石粉 @ 75.0%,
cropsnh:onion,洋葱,cropsnh_crops.onion,,,CropsNH Team,0xFF4E1B3F,0xFF753C64,vanilla,X,farmland,4,-1,"SANDY, SPARSE, DRY",800,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,1 x 洋葱 @ 100.0%,洋葱种子 | 洋葱
cropsnh:orangeTulip,橙色郁金香,tile.flower2.tulipOrange.name,,,Notch,0xFF92460C,0xFFF4B33F,flower,Hash,dirt,2,-1,"PLAINS, WET",600,0.8,0.8,24,,0.9025,1 x 橙色染料 @ 100.0%,橙色郁金香
cropsnh:osmianth,锇叶草,cropsnh_crops.osmianth,,,CropsNH Team,0xFF2525BC,0xFF2E2EEC,flower,X,stone,12,5,"OCEAN, RIVER",7200,0.8,0.8,24,需要在其下方放置锇块才能生长 | 只能在工业农场中收获,0.5403601,1 x 锇花 @ 25.0%,
cropsnh:oxeyeDaisy,滨菊,tile.flower2.oxeyeDaisy.name,,,Notch,0xFF3D3D4C,0xFFC8C8C8,flower,Hash,dirt,2,-1,"PLAINS, FOREST",600,0.8,0.8,24,,0.9025,1 x 淡灰色染料 @ 100.0%,滨菊
cropsnh:papyrus,纸莎草,cropsnh_crops.papyrus,,,bartimaeusnek,0xFFA3A3A3,0xFFEAEAEA,vanilla,X,farmland,5,-1,"JUNGLE, SWAMP, WET",450,0.8,0.8,24,,0.77378094,1 x 纸 @ 100.0%,
cropsnh:pinkTulip,粉红色郁金香,tile.flower2.tulipPink.name,,,Notch,0xFF80365C,0xFFF7B4D6,flower,Hash,dirt,2,-1,"PLAINS, WET",600,0.8,0.8,24,,0.9025,1 x 粉红色染料 @ 100.0%,粉红色郁金香
cropsnh:platina,铂叶草,cropsnh_crops.platina,,,CropsNH Team,0xFFDADAAB,0xFFF7F7C7,vanilla,Hash,stone,11,3,"HOT, SANDY",6600,0.8,0.8,24,需要在其下方放置铂块才能生长 | 只能在工业农场中收获,0.5688001,1 x 铂族叶 @ 100.0%,
cropsnh:plumbilia,铅叶草,cropsnh_crops.plumbilia,,,KingLemming,0xFF503950,0xFF6D4E6D,vanilla,Hash,stone,6,-1,"SAVANNA, PLAINS",1200,0.8,0.8,24,需要在其下方放置铅块或方铅矿矿石才能生长,0.73509187,1 x 铅叶 @ 100.0%,
cropsnh:plumbshade,铅粉草,cropsnh_crops.plumbshade,,,CropsNH Team,0xFF523B52,0xFF6D4E6D,vanilla,Hash,stone,6,-1,"HOT, WET",2800,0.8,0.8,24,需要在其下方放置铅块或方铅矿矿石才能生长,0.73509187,1 x 小撮铅粉 @ 100.0%,
cropsnh:poppy,虞美人,tile.flower2.poppy.name,,,Notch,0xFF3A0102,0xFFBA050B,flower,Hash,dirt,2,-1,"PLAINS, HILLS",600,0.8,0.8,24,,0.9025,1 x 玫瑰红 @ 100.0%,虞美人
cropsnh:potato,马铃薯,item.potato.name,,,Notch,0xFFC0A51B,0xFFFBE6BC,vanilla,Hash,farmland,1,-1,"PLAINS, COLD",800,0.8,0.8,24,需要亮度等级为 9 以上,0.95,1 x 马铃薯 @ 100.0%,马铃薯
cropsnh:primordialBerry,元始浆果,cropsnh_crops.primordialBerry,,,bartimaeusnek and ForTheHorde01,0xFF652150,0xFFA1D3A9,magic,X,farmland,16,-1,"END, MAGICAL",375000,-1.0,-1.0,24,,0.5,1 x 元始珍珠 @ 100.0%,元始珍珠
cropsnh:pumpkin,南瓜,tile.pumpkin.name,,,Notch,0xFFCAB16E,0xFFC8D4AA,vanilla,Hash,farmland,2,-1,"PLAINS, WET",1000,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 南瓜 @ 100.0%,南瓜种子
cropsnh:purpleGlowshroom,紫色荧光菇,cropsnh_crops.purpleGlowshroom,,,bartimaeusnek,0xFF511FB6,0xFF8B2CD2,spore,Hash,stone+dirt+mycelium+netherrack,3,-1,"MAGICAL, MUSHROOM, NETHER",600,0.8,0.8,24,,0.857375,1 x 紫色荧光菇 @ 100.0%,紫色荧光菇
cropsnh:purpleMagnolia,紫玉兰,cropsnh_crops.purpleMagnolia,,,The_Flames,0xFFFFAFAF,0xFFFFFFFF,magic,X,thaumLogs,5,-1,,2000,0.8,0.8,24,,0.77378094,1 x 紫玉兰花瓣 @ 100.0%,紫玉兰树苗
cropsnh:purpleTulip,紫色郁金香,cropsnh_crops.purpleTulip,,,CropsNH Team,0xFF8230B2,0xFFA453CE,flower,Hash,dirt,2,-1,"PLAINS, WET",600,0.8,0.8,24,,0.9025,1 x 紫色染料 @ 100.0%,
cropsnh:pyrolusium,锰叶草,cropsnh_crops.pyrolusium,它尽力了,cropsnh_crops.pyrolusium.flavour,CropsNH Team,0xFFB51900,0xFFCF1E11,vanilla,Hash,stone,12,-1,"HOT, NETHER",2400,0.8,0.8,24,需要在其下方放置镁块或软锰矿矿石才能生长,0.5403601,1 x 软锰叶 @ 100.0%,
cropsnh:raspberry,树莓,cropsnh_crops.raspberry,,,bartimaeusnek,0xFFA23131,0xFFC54F4F,vanilla,Hash,farmland,2,-1,"PLAINS, DRY",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,3 x 树莓 @ 100.0%,树莓种子 | 树莓 | 树莓 | 树莓
cropsnh:reactoria,核能草,cropsnh_crops.reactoria,,,CropsNH Team,0xFF565301,0xFF989309,grains,Hash,stone,12,4,"HOT, COLD",4800,0.8,0.8,24,需要在其下方放置铀块、晶质铀矿矿石或沥青铀矿才能生长 | 只能在工业农场中收获,0.5403601,1 x 核能茎 @ 25.0% | 1 x 核能叶 @ 75.0%,
cropsnh:redGraniteLily,红花岗莲,cropsnh_crops.redGraniteLily,,,bartimaeusnek,0xFF871C52,0xFFD42C80,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置红花岗岩才能生长,0.95,9 x 红花岗岩粉 @ 100.0%,
cropsnh:redMushroom,红蘑菇,cropsnh_crops.redMushroom,,,Notch,0xFFA61313,0xFFE21212,spore,Hash,stone+dirt+mycelium,1,-1,"MUSHROOM, SWAMP, WET",400,0.8,0.8,24,需要亮度等级为 9 以下,0.95,1 x 蘑菇 @ 100.0%,蘑菇
cropsnh:redTulip,红色郁金香,tile.flower2.tulipRed.name,,,Notch,0xFF7A0707,0xFFD24343,flower,Hash,dirt,2,-1,"PLAINS, HOT",600,0.8,0.8,24,,0.9025,1 x 玫瑰红 @ 100.0%,红色郁金香
cropsnh:redstraw,红石草,cropsnh_crops.redstraw,,,raa1337,0xFF6C4B17,0xFFD45555,vanilla,Hash,farmland,6,-1,"PLAINS, HOT",1500,0.8,0.8,24,需要亮度等级为 5 以上 | 需要亮度等级为 12 以下 | 需要在其下方放置红石块才能生长,0.85,1 x 红石粉 @ 100.0%,
cropsnh:rubyne,红宝石草,cropsnh_crops.rubyne,,,CropsNH Team,0xFF931212,0xFFA64747,vanilla,X,stone,4,-1,"MOUNTAIN, RIVER",800,0.8,0.8,24,需要在其下方放置红宝石才能生长,0.81450623,1 x 红宝石 @ 25.0% | 1 x 红宝石粉 @ 75.0%,
cropsnh:saguaroCactus,巨型仙人掌,cropsnh_crops.saguaroCactus,,,bartimaeusnek,0xFF3D401B,0xFF828839,grains,Hash,sand,4,-1,"HOT, SANDY, DRY",450,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,2 x 巨型仙人掌 @ 50.0% | 3 x 仙人掌果 @ 50.0%,巨型仙人掌 | 仙人掌果
cropsnh:saltyRoot,盐根,cropsnh_crops.saltyRoot,不可食用。,cropsnh_crops.saltyRoot.flavour,GlodBlock,0xFF707070,0xFFC7C7C1,vanilla,Hash,farmland,4,-1,"SANDY, DEAD, DRY",1600,0.8,0.8,24,,4.0,1 x 盐根 @ 100.0%,
cropsnh:sandLily,沙莲,cropsnh_crops.sandLily,,,bartimaeusnek,0xFF87836B,0xFFC4BD97,vanilla,X,stone,1,-1,"HOT, SANDY, DRY",600,0.8,0.8,24,需要在其下方放置沙子或沙石才能生长,0.95,4 x 沙子 @ 100.0%,
cropsnh:sapphirum,蓝宝石草,cropsnh_crops.sapphirum,,,CropsNH Team,0xFF47478F,0xFF5959B3,vanilla,Hash,stone,4,-1,"COLD, OCEAN, WET",800,0.8,0.8,24,需要在其下方放置蓝宝石才能生长,0.81450623,1 x 蓝宝石 @ 25.0% | 1 x 蓝宝石粉 @ 75.0%,
cropsnh:scheelinium,钨叶草,cropsnh_crops.scheelinium,,,CropsNH Team,0xFF313CA3,0xFF232C9E,vanilla,Hash,stone,12,4,"COLD, OCEAN, WET",2400,0.8,0.8,24,需要在其下方放置钨块、白钨矿矿石或钨酸锂矿石才能生长 | 只能在工业农场中收获,0.5403601,1 x 白钨叶 @ 100.0%,
cropsnh:shimmerleaf,水银花,cropsnh_crops.shimmerleaf,,,bartimaeusnek and DreamMasterXXL,0xFF78A59C,0xFFA9C6C1,magic,Hash,dirt,5,-1,"LUSH, MAGICAL",4000,0.8,0.8,24,需要在其下方放置水银块才能生长,0.77378094,1 x 水银花 @ 100.0%,水银花
cropsnh:silviscus,银粉草,cropsnh_crops.silviscus,,,CropsNH Team,0xFFB3B3D0,0xFFD0D0F1,vanilla,Hash,stone,8,-1,"COLD, SNOWY, SPOOKY",3700,0.8,0.8,24,需要在其下方放置银块才能生长,0.66342044,1 x 小撮银粉 @ 100.0%,
cropsnh:skyberry,天莓,cropsnh_crops.skyberry,,,bartimaeusnek,0xFF2E8BA7,0xFF45E0FF,vanilla,Hash,netherrack,4,-1,"DRY, NETHER",300,0.8,0.8,24,,0.81450623,2 x 天莓 @ 100.0%,天莓
cropsnh:slimeplant,粘液草,cropsnh_crops.slimeplant,,,Neowulf,0xFF5A3F1E,0xFF9DF28A,bonsai,Hash,dirt,6,-1,"SWAMP, WET",1200,0.8,0.8,24,,0.73509187,1 x 黏液球 @ 100.0%,
cropsnh:snowbell,雪铃花,tile.witchery:snowbell.name,,,bartimaeusnek,0xFF33A9FF,0xFFA5D9FF,magic,X,farmland,4,-1,"COLD, SNOWY",1100,0.8,0.8,24,,0.81450623,1 x 冰晶石粉 @ 2.50% | 1 x 雪球 @ 10.0% | 1 x 冰针 @ 89.0%,雪铃花种子
cropsnh:soulSandLily,灵魂沙莲,cropsnh_crops.soulSandLily,,,C0bra5,0xFF281A12,0xFF534034,vanilla,X,stone,2,-1,"SPOOKY, SANDY, NETHER",2000,0.8,0.8,24,需要在其下方放置灵魂沙才能生长,0.9025,1 x 灵魂沙 @ 25.0%,
cropsnh:spaceFlower,空间之花,cropsnh_crops.spaceFlower,,,bartimaeusnek,0xFFFF0000,0xFFFFC200,flower,X,farmland,13,5,"COLD, DEAD, DRY",15000,0.8,0.8,24,需要在其下方放置太空方块才能生长 | 只能在工业农场中收获,0.5133421,1 x 空间之花 @ 100.0%,
cropsnh:spanishMoss,寄生藤,tile.witchery:spanishmoss.name,,,bartimaeusnek,0xFF3F5227,0xFFC1CEBB,magic,Hash,farmland,7,-1,"LUSH, SWAMP, FOREST, WET",675,0.8,0.8,24,,0.6983373,1 x 寄生藤 @ 100.0%,寄生藤
cropsnh:spidernip,蜘蛛咬,cropsnh_crops.spidernip,,,Mr. Kenny,0xFFBFBFBF,0xFFF7F7F7,vanilla,Hash,farmland,4,-1,"LUSH, WET",2400,0.8,0.8,24,,0.81450623,1 x 蜘蛛眼 @ 16.67% | 1 x 蜘蛛网 @ 16.67% | 1 x 线 @ 66.66%,
cropsnh:starWart,星疣,cropsnh_crops.starWart,,,CropsNH Team,0xFF8985BE,0xFFFFFFFF,spore,Hash,stone,12,4,"DEAD, NETHER",7200,0.8,0.8,24,需要在其下方放置下界之星块才能生长 | 只能在工业农场中收获,0.5403601,1 x 星疣 @ 100.0%,
cropsnh:stargatium,星际之草,cropsnh_crops.stargatium,,,CropsNH Team,0xFF333333,0xFF555555,vanilla,Hash,stone,12,5,"LUSH, WASTELAND",7200,0.8,0.8,24,需要在其下方放置硅岩块才能生长 | 只能在工业农场中收获,0.5403601,1 x 末地石粉 @ 25.0% | 1 x 星际之叶 @ 75.0%,
cropsnh:steeleafranks,钢叶草,cropsnh_crops.steeleafranks,,,Benimatic,0xFF163916,0xFF327F32,vanilla,Hash,stone,10,-1,"SPOOKY, DEAD",6000,0.8,0.8,24,需要在其下方放置钢叶块才能生长,0.59873694,1 x 钢叶 @ 25.0% | 1 x 钢叶粉 @ 25.0%,
cropsnh:stickyCane,黏性甘蔗,cropsnh_crops.stickyCane,,,CropsNH Team,0xFF8DB560,0xFFD9D891,grains,X,sand+dirt,4,-1,"HOT, SANDY, WET",200,0.8,0.8,24,,0.81450623,1 x 粘性树脂 @ 100.0%,
cropsnh:stingberry,刺莓,cropsnh_crops.stingberry,,,bartimaeusnek,0xFF727F3D,0xFF8BDC3C,vanilla,Hash,netherrack,4,-1,"HOT, NETHER",300,0.8,0.8,24,,0.81450623,2 x 刺莓 @ 100.0%,刺莓
cropsnh:stoneLily,石莲,cropsnh_crops.stoneLily,,,bartimaeusnek,0xFF919191,0xFFCDCDCD,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置石制方块才能生长,0.95,9 x 石头粉 @ 100.0%,
cropsnh:strawberry,草莓,cropsnh_crops.strawberry,,,bartimaeusnek,0xFF8F0205,0xFFCE0609,vanilla,Hash,farmland,2,-1,"PLAINS, LUSH",200,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 草莓 @ 100.0%,草莓种子 | 草莓
cropsnh:sugarBeet,甜菜,cropsnh_crops.sugarBeet,,,bartimaeusnek,0xFFB3B3B3,0xFFFEFEFE,vanilla,Hash,farmland,4,-1,"COLD, WET",450,0.8,0.8,24,,0.81450623,1 x 甜菜 @ 100.0%,甜菜
cropsnh:sugarCane,甘蔗,cropsnh_crops.sugarCane,,,Notch,0xFF698747,0xFFAADB74,grains,X,sand+dirt,2,-1,"HOT, WET",400,0.8,0.8,24,,0.9025,2 x 甘蔗 @ 100.0%,甘蔗
cropsnh:tea,茶,cropsnh_crops.tea,,,CropsNH Team,0xFF7C8C58,0xFFD8C97D,vanilla,Hash,farmland,4,-1,"HOT, HILLS, WET",2400,0.8,0.8,24,,0.81450623,1 x 茶叶 @ 100.0%,茶种子
cropsnh:tearstalks,泪之语,cropsnh_crops.tearstalks,,,Neowulf,0xFFBFBFBF,0xFFF7F7F7,grains,Hash,farmland,8,-1,"DEAD, NETHER",4800,0.8,0.8,24,,0.66342044,1 x 恶魂之泪 @ 66.66%,
cropsnh:thauminiteOreBerry,秘晶锭矿莓,cropsnh_crops.thauminiteOreBerry,,,bartimaeusnek,0xFF515A9C,0xFF7581E0,oreberry,Hash,stone,7,-1,"MAGICAL, FOREST",4500,0.8,0.8,24,需要在其下方放置秘晶块才能生长 | 需要亮度等级为 10 以下,0.6983373,1 x 秘晶粒 @ 100.0%,
cropsnh:thaumiumOreBerry,神秘矿莓,cropsnh_crops.thaumiumOreBerry,,,bartimaeusnek,0xFF67458A,0xFF9664C8,oreberry,Hash,stone,7,-1,"SPOOKY, MAGICAL",3000,0.8,0.8,24,需要在其下方放置神秘方块才能生长 | 需要亮度等级为 10 以下,0.6983373,1 x 神秘粒 @ 100.0%,
cropsnh:thiosulfine,硫质草,cropsnh_crops.thiosulfine,,,CropsNH Team,0xFFA49035,0xFFE1B33D,vanilla,Hash,stone,6,-1,"HOT, NETHER",1200,0.8,0.8,24,需要在其下方放置硫块或闪锌矿矿石才能生长,0.73509187,1 x 硫质花 @ 100.0%,
cropsnh:thornvine,荊藤,cropsnh_crops.thornvine,,,bartimaeusnek,0xFF987005,0xFFDFE485,vanilla,Hash,netherrack,3,-1,"DRY, NETHER",450,0.8,0.8,24,,0.857375,2 x 荊藤 @ 100.0%,荊藤
cropsnh:tinOreBerry,锡矿莓,cropsnh_crops.tinOreBerry,,,bartimaeusnek,0xFF8F8F8F,0xFFDCDCDC,oreberry,Hash,stone,4,-1,"MOUNTAIN, HILLS",6000,0.8,0.8,24,需要在其下方放置锡块才能生长 | 需要亮度等级为 10 以下,0.81450623,6 x 锡矿莓 @ 100.0%,锡矿莓
cropsnh:tine,锡芽草,cropsnh_crops.tine,,,Gregorius Techneticies,0xFF7D7D7D,0xFFACACAC,vanilla,Hash,stone,5,-1,"MOUNTAIN, HILLS",1000,0.8,0.8,24,需要在其下方放置锡块才能生长,0.77378094,1 x 锡芽 @ 100.0%,
cropsnh:titania,钛叶草,cropsnh_crops.titania,作物之女皇。,cropsnh_crops.titania.flavour,CropsNH Team,0xFF815E8D,0xFFDCA0F0,vanilla,Hash,stone,9,4,"SAVANNA, HOT",1800,0.8,0.8,24,需要在其下方放置钛块、钛铁矿矿石或金红石矿石才能生长 | 只能在工业农场中收获,0.6302494,1 x 钛叶 @ 100.0%,
cropsnh:tomato,番茄,cropsnh_crops.tomato,,,CropsNH Team,0xFF91101F,0xFFE3321F,vanilla,Hash,farmland,4,-1,"HOT, WET",800,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,1 x 大型番茄 @ 25.0% | 1 x 番茄 @ 75.0%,番茄种子 | 番茄
cropsnh:torchberry,火炬浆果,cropsnh_crops.torchberry,,,Minepolz320,0xFFAB934D,0xFFF5D36E,vanilla,X,farmland,2,-1,"HILLS, FOREST",150,0.8,0.8,24,需要亮度等级为 10 以下,0.9025,1 x 火炬浆果 @ 100.0%,火炬浆果
cropsnh:transformium,化生浆果,cropsnh_crops.transformium,,,CropsNH Team,0xFF2A0040,0xFF6D1566,vanilla,Hash,farmland,12,4,"END, COLD",7200,0.8,0.8,24,只能在工业农场中收获,0.5403601,1 x UUM浆果 @ 10.0% | 1 x UUA浆果 @ 90.0%,
cropsnh:trollplant,恶作剧藤,cropsnh_crops.trollplant,"Trololololol, lololol, lololol!",cropsnh_crops.trollplant.flavour,CropsNH Team,0xFF000000,0xFFFFFFFF,troll,Hash,brick,6,-1,"SPOOKY, SWAMP",4800,0.8,0.8,24,,0.73509187,1 x 植物球 @ 12.50% | 1 x 废料 @ 12.50% | 1 x 钚-241粉 @ 12.50% | 1 x 尖晶石 @ 62.50%,
cropsnh:tuffLily,凝灰莲,cropsnh_crops.tuffLily,,,bartimaeusnek,0xFF57574D,0xFF95978D,vanilla,X,stone,1,-1,"MOUNTAIN, HILLS",600,0.8,0.8,24,需要在其下方放置凝灰岩才能生长,0.95,9 x 凝灰岩粉 @ 100.0%,
cropsnh:turnip,芜菁,cropsnh_crops.turnip,,,bartimaeusnek,0xFF321F1C,0xFF6C3E32,vanilla,Hash,farmland,2,-1,"PLAINS, COLD, WET",450,0.8,0.8,24,需要亮度等级为 9 以上,0.9025,1 x 芜菁 @ 100.0%,芜菁种子 | 芜菁种子 | 芜菁 | 芜菁
cropsnh:vine,藤蔓,cropsnh_crops.vine,,,jeb_,0xFF173A0A,0xFF2C7310,flower,Hash,farmland,2,-1,"LUSH, JUNGLE, WET",450,0.8,0.8,24,,0.9025,2 x 藤蔓 @ 100.0%,藤蔓
cropsnh:voidOreBerry,虚空金属矿莓,cropsnh_crops.voidOreBerry,,,bartimaeusnek,0xFF130426,0xFF1C0639,oreberry,Hash,stone,7,-1,"MAGICAL, WASTELAND",4500,0.8,0.8,24,需要在其下方放置虚空金属块才能生长 | 需要亮度等级为 10 以下,0.6983373,1 x 虚空金属粒 @ 100.0%,虚空种子
cropsnh:waterArtichoke,水洋蓟,tile.witchery:artichoke.name,,,bartimaeusnek,0xFF6F644E,0xFF968C74,magic,X,farmland,4,-1,"OCEAN, RIVER, WET",1100,0.8,0.8,24,需要亮度等级为 9 以上,0.81450623,1 x 水洋蓟球茎 @ 100.0%,水洋蓟种子
cropsnh:waterLily,睡莲,cropsnh_crops.waterLily,,,moronwmachinegun,0xFF3E89D8,0xFFD497D8,flower,Hash,farmland,2,-1,"SWAMP, RIVER, WET",450,0.8,0.8,24,,0.9025,2 x 粉红色染料 @ 200.0% | 2 x 睡莲 @ 800.0%,睡莲
cropsnh:weed,杂草,cropsnh_crops.weed,,,The Evil One,0xFF00FF00,0xFF00FF00,vanilla,Hash,global,1,-1,,600,0.8,0.8,0,,0.95,,
cropsnh:wheat,小麦,item.wheat.name,,,Notch,0xFFB7BB3F,0xFF00E210,vanilla,Hash,farmland,1,-1,"PLAINS, LUSH",1000,0.8,0.8,24,需要亮度等级为 9 以上,0.95,1 x 小麦 @ 100.0%,小麦种子
cropsnh:whiteTulip,白色郁金香,tile.flower2.tulipWhite.name,,,Notch,0xFF3D3D4C,0xFFD9D9D9,flower,Hash,dirt,2,-1,"PLAINS, COLD",600,0.8,0.8,24,,0.9025,1 x 淡灰色染料 @ 100.0%,白色郁金香
